"id","name","slug","type","category","power","accuracy","pp","priority","target","description"
7,"Fire Punch","fire-punch","fire","physical",75,100,16,0,"selected-pokemon","Has a 10% chance of burning the target."
8,"Ice Punch","ice-punch","ice","physical",75,100,16,0,"selected-pokemon","Has a 10% chance of freezing the target."
34,"Body Slam","body-slam","normal","physical",85,100,16,0,"selected-pokemon","Has a 30% chance of paralyzing the target. If the target has the Minimized status this move's power is doubled and it will be sure to hit."
36,"Thunder Fang","thunder-fang","electric","physical",65,95,16,0,"selected-pokemon","Has a 10% chance of paralyzing the target and a 10% chance of making the target flinch."
44,"Bite","bite","dark","physical",60,100,20,0,"selected-pokemon","Has a 30% chance of making the target flinch."
53,"Flamethrower","flamethrower","fire","special",90,100,16,0,"selected-pokemon","Has a 10% chance of burning the target."
58,"Ice Beam","ice-beam","ice","special",90,100,12,0,"selected-pokemon","Has a 10% chance of freezing the target."
73,"Leech Seed","leech-seed","grass","status",0,90,12,0,"selected-pokemon","Gives the target the Leech Seeded status."
85,"Thunderbolt","thunderbolt","electric","special",90,100,16,0,"selected-pokemon","Has a 10% chance of paralyzing the target."
89,"Earthquake","earthquake","ground","physical",100,100,12,0,"all-adjacent","This move's power is doubled against targets that have the Underground status. When Grassy Terrain is active this move's power is halved."
94,"Psychic","psychic","psychic","special",90,100,12,0,"selected-pokemon","Has a 10% chance of lowering the target's Sp. Def stat by 1 stage."
157,"Rock Slide","rock-slide","rock","physical",75,90,12,0,"all-opponents","Has a 30% chance of making targets flinch."
173,"Swagger","swagger","normal","status",0,85,16,0,"selected-pokemon","Boosts the target's Attack stat by 2 stages and confuses it."
174,"Knock Off","knock-off","dark","physical",65,100,20,0,"selected-pokemon","This move's power is boosted by 50% if the target is holding an item. Causes the target to lose its held item."
177,"Minimize","minimize","normal","status",0,101,12,0,"user","Boosts the user's evasiveness by 2 stages. The user gains the Minimized status."
182,"Protect","protect","normal","status",0,101,8,4,"user","The user protects itself from incoming moves for the turn. With each consecutive use this move's chance of success becomes 1/3 of what it was before."
200,"Outrage","outrage","dragon","physical",120,100,12,0,"selected-pokemon","The user gains the Rampaging status."
201,"Sandstorm","sandstorm","rock","status",0,101,8,0,"all","Summons a sandstorm for 5 turns."
202,"Giga Drain","giga-drain","grass","special",75,100,12,0,"selected-pokemon","The user's HP is restored by 1/2 of the damage dealt by this move."
